"Jahr";"Kunsthaus L6";"Kunstverein Freiburg"
"1981";42.621;0
"1982";28.125;0
"1983";33.059;0
"1984";20.965;0
"1985";24.093;0
"1986";24.323;0
"1987";22.385;0
"1988";30.262;2.000
"1989";16.661;9.799
"1990";13.500;1.919
"1991";15.159;4.036
"1992";14.476;9.184
"1993";14.291;11.199
"1994";11.797;11.357
"1995";10.585;13.329
"1996";11.154;13.842
"1997";16.895;4.393
"1998";7.910;11.570
"1999";11.460;10.680
"2000";15.350;11.829
"2001";14.898;5.735
"2002";10.152;6.023
"2003";1.700;5.045
"2004";1.012;11.500
"2005";2.759;9.135
"2006";2.162;6.849
"2007";3.293;11.293
"2008";2.487;9.165
"2009";2.200;5.126
"2010";2.370;5.375
"2011";2.140;7.001
"2012";1.931;6.796
"2013";2.073;5.475
"2014";2.204;5.332
"2015";2.877;4.706
"2016";2.362;5.614
"2017";1.699;4.595
"2018";1.387;7.372
"2019";1.455;5.592
"2020";1.223;0
